2024-12-08 19:25:04 root:INFO:  Arguments
2024-12-08 19:25:04 root:INFO:  alpha: 0.1
2024-12-08 19:25:04 root:INFO:  eta: 1
2024-12-08 19:25:04 root:INFO:  epoch: 200
2024-12-08 19:25:04 root:INFO:  save_dir: ./temp
2024-12-08 19:25:04 root:INFO:  save_name: temp-name
2024-12-08 19:25:23 root:INFO:  Epoch 47	 delta_equalized_odds 3.79%	 delta_equal_opportunity 3.79%	 delta_demographic_parity 11.26%	 test_accuracy 84.45%	 test_auroc 0.906 
2024-12-08 19:25:24 root:INFO:  Epoch 48	 delta_equalized_odds 3.74%	 delta_equal_opportunity 3.74%	 delta_demographic_parity 11.21%	 test_accuracy 84.43%	 test_auroc 0.906 
2024-12-08 19:25:24 root:INFO:  Epoch 49	 delta_equalized_odds 3.96%	 delta_equal_opportunity 3.96%	 delta_demographic_parity 11.26%	 test_accuracy 84.45%	 test_auroc 0.906 
2024-12-08 19:25:24 root:INFO:  Epoch 50	 delta_equalized_odds 3.76%	 delta_equal_opportunity 3.76%	 delta_demographic_parity 11.22%	 test_accuracy 84.46%	 test_auroc 0.906 
2024-12-08 19:25:25 root:INFO:  Epoch 51	 delta_equalized_odds 3.71%	 delta_equal_opportunity 3.71%	 delta_demographic_parity 11.22%	 test_accuracy 84.47%	 test_auroc 0.906 
2024-12-08 19:25:25 root:INFO:  Epoch 52	 delta_equalized_odds 3.68%	 delta_equal_opportunity 3.68%	 delta_demographic_parity 11.13%	 test_accuracy 84.42%	 test_auroc 0.906 
2024-12-08 19:25:25 root:INFO:  Epoch 53	 delta_equalized_odds 3.95%	 delta_equal_opportunity 3.95%	 delta_demographic_parity 11.11%	 test_accuracy 84.44%	 test_auroc 0.906 
2024-12-08 19:25:25 root:INFO:  Epoch 54	 delta_equalized_odds 3.71%	 delta_equal_opportunity 3.71%	 delta_demographic_parity 11.04%	 test_accuracy 84.39%	 test_auroc 0.906 
2024-12-08 19:25:26 root:INFO:  Epoch 55	 delta_equalized_odds 3.83%	 delta_equal_opportunity 3.83%	 delta_demographic_parity 11.01%	 test_accuracy 84.36%	 test_auroc 0.906 
2024-12-08 19:25:26 root:INFO:  Epoch 56	 delta_equalized_odds 3.78%	 delta_equal_opportunity 3.78%	 delta_demographic_parity 11.01%	 test_accuracy 84.37%	 test_auroc 0.906 
2024-12-08 19:25:27 root:INFO:  Epoch 57	 delta_equalized_odds 4.27%	 delta_equal_opportunity 4.27%	 delta_demographic_parity 11.12%	 test_accuracy 84.36%	 test_auroc 0.906 
2024-12-08 19:25:27 root:INFO:  Epoch 58	 delta_equalized_odds 4.49%	 delta_equal_opportunity 4.49%	 delta_demographic_parity 11.15%	 test_accuracy 84.36%	 test_auroc 0.906 
2024-12-08 19:25:28 root:INFO:  Epoch 59	 delta_equalized_odds 4.51%	 delta_equal_opportunity 4.51%	 delta_demographic_parity 11.11%	 test_accuracy 84.33%	 test_auroc 0.906 
2024-12-08 19:25:28 root:INFO:  Epoch 60	 delta_equalized_odds 4.31%	 delta_equal_opportunity 4.31%	 delta_demographic_parity 11.00%	 test_accuracy 84.32%	 test_auroc 0.906 
2024-12-08 19:25:28 root:INFO:  Epoch 61	 delta_equalized_odds 4.31%	 delta_equal_opportunity 4.31%	 delta_demographic_parity 11.02%	 test_accuracy 84.34%	 test_auroc 0.906 
2024-12-08 19:25:29 root:INFO:  Epoch 62	 delta_equalized_odds 4.29%	 delta_equal_opportunity 4.29%	 delta_demographic_parity 10.99%	 test_accuracy 84.28%	 test_auroc 0.906 
2024-12-08 19:25:29 root:INFO:  Epoch 63	 delta_equalized_odds 4.09%	 delta_equal_opportunity 4.09%	 delta_demographic_parity 10.96%	 test_accuracy 84.25%	 test_auroc 0.906 
2024-12-08 19:25:29 root:INFO:  Epoch 64	 delta_equalized_odds 3.89%	 delta_equal_opportunity 3.89%	 delta_demographic_parity 10.85%	 test_accuracy 84.24%	 test_auroc 0.906 
2024-12-08 19:25:29 root:INFO:  Epoch 65	 delta_equalized_odds 4.01%	 delta_equal_opportunity 4.01%	 delta_demographic_parity 10.79%	 test_accuracy 84.23%	 test_auroc 0.906 
2024-12-08 19:25:30 root:INFO:  Epoch 66	 delta_equalized_odds 3.99%	 delta_equal_opportunity 3.99%	 delta_demographic_parity 10.73%	 test_accuracy 84.15%	 test_auroc 0.906 
2024-12-08 19:25:30 root:INFO:  Epoch 67	 delta_equalized_odds 3.74%	 delta_equal_opportunity 3.74%	 delta_demographic_parity 10.66%	 test_accuracy 84.10%	 test_auroc 0.906 
2024-12-08 19:25:30 root:INFO:  Epoch 68	 delta_equalized_odds 3.66%	 delta_equal_opportunity 3.66%	 delta_demographic_parity 10.57%	 test_accuracy 84.03%	 test_auroc 0.906 
2024-12-08 19:25:30 root:INFO:  Epoch 69	 delta_equalized_odds 3.68%	 delta_equal_opportunity 3.68%	 delta_demographic_parity 10.52%	 test_accuracy 83.97%	 test_auroc 0.906 
2024-12-08 19:25:31 root:INFO:  Epoch 70	 delta_equalized_odds 3.44%	 delta_equal_opportunity 3.44%	 delta_demographic_parity 10.48%	 test_accuracy 83.93%	 test_auroc 0.906 
2024-12-08 19:25:31 root:INFO:  Epoch 71	 delta_equalized_odds 3.29%	 delta_equal_opportunity 3.29%	 delta_demographic_parity 10.37%	 test_accuracy 83.94%	 test_auroc 0.906 
2024-12-08 19:25:31 root:INFO:  Epoch 72	 delta_equalized_odds 3.29%	 delta_equal_opportunity 3.29%	 delta_demographic_parity 10.34%	 test_accuracy 83.96%	 test_auroc 0.906 
